source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ProteomeEdge]	factor value[Sample]
PRM_20260227_Project ALS _Plate1_A11	A	11	ALS_samples	11	RA11	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A11	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 11	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A11.raw	PRM_20260227_Project ALS _Plate1_A11.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A12	A	12	ALS_samples	12	RA12	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A12	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 12	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A12.raw	PRM_20260227_Project ALS _Plate1_A12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B1	B	1	ALS_samples	13	RB1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B1	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 13	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B1.raw	PRM_20260227_Project ALS _Plate1_B1.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B2	B	2	ALS_samples	14	RB2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B2	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 14	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B2.raw	PRM_20260227_Project ALS _Plate1_B2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B3	B	3	ALS_samples	15	RB3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B3	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 15	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B3.raw	PRM_20260227_Project ALS _Plate1_B3.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B4	B	4	ALS_samples	16	RB4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B4	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 16	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B4.raw	PRM_20260227_Project ALS _Plate1_B4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B5	B	5	ALS_samples	17	RB5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B5	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 17	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B5.raw	PRM_20260227_Project ALS _Plate1_B5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B6	B	6	ALS_samples	18	RB6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B6	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 18	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B6.raw	PRM_20260227_Project ALS _Plate1_B6.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B7	B	7	ALS_samples	19	RB7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B7	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 19	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B7.raw	PRM_20260227_Project ALS _Plate1_B7.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B8	B	8	ALS_samples	20	RB8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B8	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 20	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B8.raw	PRM_20260227_Project ALS _Plate1_B8.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B9	B	9	ALS_samples	21	RB9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B9	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 21	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B9.raw	PRM_20260227_Project ALS _Plate1_B9.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B10	B	10	ALS_samples	22	RB10	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B10	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 22	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B10.raw	PRM_20260227_Project ALS _Plate1_B10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B11	B	11	ALS_samples	23	RB11	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B11	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 23	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B11.raw	PRM_20260227_Project ALS _Plate1_B11.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_B12	B	12	ALS_samples	24	RB12	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_B12	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 24	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_B12.raw	PRM_20260227_Project ALS _Plate1_B12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_C1	C	1	ALS_samples	25	RC1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_C1	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 25	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_C1.raw	PRM_20260227_Project ALS _Plate1_C1.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_C2	C	2	ALS_samples	26	RC2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_C2	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 26	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_C2.raw	PRM_20260227_Project ALS _Plate1_C2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_C3	C	3	ALS_samples	27	RC3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_C3	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 27	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_C3.raw	PRM_20260227_Project ALS _Plate1_C3.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_C4	C	4	ALS_samples	28	RC4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_C4	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 28	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_C4.raw	PRM_20260227_Project ALS _Plate1_C4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_C5	C	5	ALS_samples	29	RC5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_C5	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 29	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_C5.raw	PRM_20260227_Project ALS _Plate1_C5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
